fathers_occupation,sons_occupation,family_structure,race,counts_for_sons_first_occupation,counts_for_sons_current_occupation
1,3,1,1,0.4,0.4
1,9,1,1,0.0,0.0
1,2,1,1,0.0,0.0
1,13,1,1,0.0,0.0
1,12,1,1,0.0,0.0
1,4,1,1,0.0,0.0
1,10,1,1,0.0,0.0
1,6,1,1,0.0,0.0
1,5,1,1,0.0,0.0
1,8,1,1,0.0,0.0
1,0,1,1,0.0,0.0
1,11,1,1,0.4,0.4
1,16,1,1,0.0,0.0
1,7,1,1,0.0,0.0
1,14,1,1,0.0,0.0
1,15,1,1,0.0,0.0
3,1,1,1,0.3,0.0
3,3,1,1,3.1,3.6
3,9,1,1,0.6,1.1
3,2,1,1,0.0,0.8
3,13,1,1,0.0,0.0
3,12,1,1,2.7,2.4
3,4,1,1,0.5,0.0
3,10,1,1,1.0,0.6
3,6,1,1,0.0,0.9
3,5,1,1,0.0,0.0
3,8,1,1,3.4,1.9
3,0,1,1,0.9,0.9
3,11,1,1,0.6,2.2
3,16,1,1,1.0,0.5
3,7,1,1,0.6,1.1
3,14,1,1,0.0,0.0
3,15,1,1,0.0,0.0
9,1,1,1,0.0,0.0
9,3,1,1,0.6,0.7
9,9,1,1,0.7,0.7
9,2,1,1,0.0,0.0
9,13,1,1,0.0,0.0
9,12,1,1,0.6,0.6
9,4,1,1,0.0,0.0
9,10,1,1,0.5,0.5
9,6,1,1,0.0,0.0
9,5,1,1,0.6,0.0
9,8,1,1,0.0,1.0
9,0,1,1,2.0,0.6
9,11,1,1,0.9,0.0
9,16,1,1,0.0,0.0
9,7,1,1,0.0,0.0
9,14,1,1,0.0,0.0
9,15,1,1,0.0,0.0
2,1,1,1,0.0,0.0
2,3,1,1,0.0,0.0
2,9,1,1,0.0,0.0
2,2,1,1,0.0,0.0
2,13,1,1,0.0,0.0
2,12,1,1,0.0,0.0
2,4,1,1,0.0,0.0
2,10,1,1,0.0,0.4
2,6,1,1,0.0,0.0
2,5,1,1,0.0,0.0
2,8,1,1,0.0,0.0
2,0,1,1,0.0,0.0
2,11,1,1,0.0,0.0
2,16,1,1,0.0,0.0
2,7,1,1,0.4,0.0
2,14,1,1,0.0,0.0
2,15,1,1,0.0,0.0
13,1,1,1,0.0,0.0
13,3,1,1,1.6,1.2
13,9,1,1,0.0,0.4
13,2,1,1,0.0,0.0
13,13,1,1,0.0,0.4
13,12,1,1,0.0,0.6
13,4,1,1,1.0,1.1
13,10,1,1,0.0,1.3
13,6,1,1,1.2,0.0
13,5,1,1,0.5,0.5
13,8,1,1,2.2,0.0
13,0,1,1,0.0,1.1
13,11,1,1,0.0,0.8
13,16,1,1,0.8,0.0
13,7,1,1,0.0,0.4
13,14,1,1,0.0,0.0
13,15,1,1,0.0,0.0
12,1,1,1,0.0,0.0
12,3,1,1,0.4,1.7
12,9,1,1,0.0,0.5
12,2,1,1,0.0,0.0
12,13,1,1,0.0,0.0
12,12,1,1,1.9,3.3
12,4,1,1,0.0,0.0
12,10,1,1,0.0,0.0
12,6,1,1,0.0,0.0
12,5,1,1,0.0,0.0
12,8,1,1,1.7,1.2
12,0,1,1,1.7,1.4
12,11,1,1,0.5,2.8
12,16,1,1,0.5,1.2
12,7,1,1,2.2,0.6
12,14,1,1,0.0,0.0
12,15,1,1,0.0,0.0
4,1,1,1,0.4,0.0
4,3,1,1,0.0,0.4
4,9,1,1,0.7,0.0
4,2,1,1,0.0,0.0
4,13,1,1,0.0,0.0
4,12,1,1,0.0,0.9
4,4,1,1,0.0,0.0
4,10,1,1,0.0,0.0
4,6,1,1,0.0,0.0
4,5,1,1,0.0,0.0
4,8,1,1,0.7,0.0
4,0,1,1,0.0,0.0
4,11,1,1,0.6,0.0
4,16,1,1,0.0,0.7
4,7,1,1,0.0,0.0
4,14,1,1,0.0,0.0
4,15,1,1,0.0,0.0
10,1,1,1,0.0,0.0
10,3,1,1,0.0,0.4
10,9,1,1,0.0,0.0
10,2,1,1,0.0,0.0
10,13,1,1,0.0,0.0
10,12,1,1,0.5,0.5
10,4,1,1,0.4,0.0
10,10,1,1,0.0,0.4
10,6,1,1,0.0,0.6
10,5,1,1,0.0,0.9
10,8,1,1,1.3,0.5
10,0,1,1,0.0,0.5
10,11,1,1,1.0,0.0
10,16,1,1,0.5,0.0
10,7,1,1,0.6,0.4
10,14,1,1,0.0,0.0
10,15,1,1,0.0,0.0
6,1,1,1,0.0,0.0
6,3,1,1,0.0,1.0
6,9,1,1,0.6,0.6
6,2,1,1,0.7,0.6
6,13,1,1,0.0,0.4
6,12,1,1,1.2,1.0
6,4,1,1,0.0,1.4
6,10,1,1,0.5,0.0
6,6,1,1,0.8,1.1
6,5,1,1,1.2,0.0
6,8,1,1,1.9,2.2
6,0,1,1,2.4,1.6
6,11,1,1,1.5,1.1
6,16,1,1,0.0,0.5
6,7,1,1,0.4,2.8
6,14,1,1,0.0,0.0
6,15,1,1,0.0,0.0
5,1,1,1,0.0,0.0
5,3,1,1,1.1,1.0
5,9,1,1,0.4,1.4
5,2,1,1,0.0,0.0
5,13,1,1,0.0,0.4
5,12,1,1,0.0,0.5
5,4,1,1,0.0,0.0
5,10,1,1,0.0,0.3
5,6,1,1,0.3,0.7
5,5,1,1,0.5,0.0
5,8,1,1,1.6,2.2
5,0,1,1,1.9,0.7
5,11,1,1,2.1,2.0
5,16,1,1,0.5,0.0
5,7,1,1,1.6,1.1
5,14,1,1,0.0,0.0
5,15,1,1,0.0,0.0
8,1,1,1,0.0,1.7
8,3,1,1,6.3,12.7
8,9,1,1,1.7,6.2
8,2,1,1,1.4,0.0
8,13,1,1,0.0,2.0
8,12,1,1,17.8,16.8
8,4,1,1,3.2,2.3
8,10,1,1,7.5,10.5
8,6,1,1,4.4,10.0
8,5,1,1,4.9,8.4
8,8,1,1,44.8,35.6
8,0,1,1,25.6,25.5
8,11,1,1,38.4,35.9
8,16,1,1,12.9,6.3
8,7,1,1,25.3,21.3
8,14,1,1,0.7,0.0
8,15,1,1,7.6,1.5
0,1,1,1,0.0,0.0
0,3,1,1,2.4,3.5
0,9,1,1,1.8,2.8
0,2,1,1,0.0,0.5
0,13,1,1,0.0,0.0
0,12,1,1,3.2,2.9
0,4,1,1,1.0,0.6
0,10,1,1,0.6,1.6
0,6,1,1,0.7,3.4
0,5,1,1,0.9,1.1
0,8,1,1,4.9,3.5
0,0,1,1,9.0,5.1
0,11,1,1,5.3,11.3
0,16,1,1,0.9,1.0
0,7,1,1,7.0,4.8
0,14,1,1,1.0,0.0
0,15,1,1,0.8,0.5
11,1,1,1,0.0,0.9
11,3,1,1,2.3,2.4
11,9,1,1,0.6,1.6
11,2,1,1,0.0,0.7
11,13,1,1,0.0,0.5
11,12,1,1,1.3,3.5
11,4,1,1,0.0,0.0
11,10,1,1,0.5,1.6
11,6,1,1,0.0,1.3
11,5,1,1,0.5,2.2
11,8,1,1,5.2,2.4
11,0,1,1,3.3,4.3
11,11,1,1,7.0,7.0
11,16,1,1,6.2,2.0
11,7,1,1,5.2,3.2
11,14,1,1,0.0,0.0
11,15,1,1,0.5,0.0
16,1,1,1,0.0,0.0
16,3,1,1,0.0,0.0
16,9,1,1,0.0,0.0
16,2,1,1,0.5,0.0
16,13,1,1,0.0,0.5
16,12,1,1,1.8,0.9
16,4,1,1,0.0,0.0
16,10,1,1,0.0,2.3
16,6,1,1,0.0,0.4
16,5,1,1,0.0,0.0
16,8,1,1,1.0,0.8
16,0,1,1,1.8,1.0
16,11,1,1,3.4,2.4
16,16,1,1,1.0,1.0
16,7,1,1,0.9,1.2
16,14,1,1,0.0,0.0
16,15,1,1,0.5,0.0
7,1,1,1,0.0,0.0
7,3,1,1,0.8,0.0
7,9,1,1,0.0,0.5
7,2,1,1,0.0,0.6
7,13,1,1,0.0,0.5
7,12,1,1,3.1,2.1
7,4,1,1,0.6,0.9
7,10,1,1,0.0,0.9
7,6,1,1,1.4,2.4
7,5,1,1,0.5,1.8
7,8,1,1,7.0,6.5
7,0,1,1,4.9,7.2
7,11,1,1,5.9,7.1
7,16,1,1,1.9,0.5
7,7,1,1,6.2,1.9
7,14,1,1,0.0,0.0
7,15,1,1,1.3,1.1
14,1,1,1,0.3,0.0
14,3,1,1,3.7,3.3
14,9,1,1,0.0,1.0
14,2,1,1,0.0,0.0
14,13,1,1,0.0,1.5
14,12,1,1,0.8,5.6
14,4,1,1,1.4,0.0
14,10,1,1,2.2,3.7
14,6,1,1,2.7,5.3
14,5,1,1,1.2,3.9
14,8,1,1,7.3,10.0
14,0,1,1,11.9,7.7
14,11,1,1,9.5,25.7
14,16,1,1,9.5,5.8
14,7,1,1,13.9,11.3
14,14,1,1,7.2,0.8
14,15,1,1,28.8,8.2
15,1,1,1,0.0,0.0
15,3,1,1,1.9,2.0
15,9,1,1,0.0,0.8
15,2,1,1,0.0,0.0
15,13,1,1,1.4,0.4
15,12,1,1,2.9,3.3
15,4,1,1,0.0,0.0
15,10,1,1,1.0,3.3
15,6,1,1,1.0,4.2
15,5,1,1,0.0,4.3
15,8,1,1,4.6,10.0
15,0,1,1,8.5,8.4
15,11,1,1,6.7,11.6
15,16,1,1,4.0,2.9
15,7,1,1,8.5,10.9
15,14,1,1,1.7,0.3
15,15,1,1,30.4,5.6
