city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),total_(BRL)
2,43,1,1,0,4,1,1,300,1600,17,21,1938
2,40,1,1,1,4,0,0,620,5000,184,64,5868
3,42,1,1,1,13,1,1,470,1750,75,23,2318
4,143,3,2,1,0,1,1,750,2058,84,27,2919
0,140,3,1,1,11,1,0,1000,4445,166,65,5676
2,60,1,1,1,3,1,1,252,750,9,10,1021
4,121,1,1,0,1,1,1,2000,6800,300,88,9188
0,148,3,2,2,3,1,0,2200,3990,167,59,6416
4,130,4,3,0,2,1,0,750,9900,141,128,10920
4,35,1,1,0,1,1,0,81150,4500,9900,58,95610
4,85,3,2,1,17,1,1,1100,4170,225,54,5549
2,40,1,1,0,0,0,1,0,900,25,14,939
4,53,2,1,1,4,1,0,365,1239,0,16,1620
2,80,3,2,2,4,1,1,690,2650,92,34,3466
2,77,3,3,2,0,1,1,223,2400,70,37,2730
2,103,3,2,2,4,1,0,1100,7550,209,96,8955
0,78,2,2,0,7,1,1,450,1500,167,22,2139
2,158,3,4,2,2,1,1,1361,2750,142,35,4288
2,300,4,4,3,0,1,1,2150,13100,1500,166,16920
4,65,2,1,1,16,1,1,560,1000,125,13,1698
2,58,2,2,1,6,0,1,520,2055,0,27,2602
2,250,3,4,0,6,1,1,3500,5000,1334,64,9898
2,440,4,4,4,11,1,0,4985,10200,2849,130,18160
0,39,1,1,1,12,1,1,500,2200,50,33,2783
0,45,2,2,0,0,0,1,0,1300,0,24,1324
1,200,4,3,3,7,1,0,1350,7900,700,106,10060
0,40,1,1,0,2,1,0,180,1250,6,19,1455
1,75,2,1,1,4,1,1,380,849,71,12,1312
3,85,2,2,1,4,1,1,675,1310,79,17,2081
4,57,2,1,1,3,1,1,430,1000,43,13,1486
2,60,3,1,0,1,0,1,565,1950,109,25,2649
3,46,2,1,1,5,1,1,380,850,18,11,1259
1,57,2,2,1,4,1,1,180,1460,125,20,1785
2,102,3,2,2,5,1,1,1250,4200,250,54,5754
2,61,2,2,1,5,1,1,650,2300,21,30,3001
4,29,1,1,0,12,1,0,580,1770,83,23,2456
2,280,3,3,2,0,1,1,0,8000,600,121,8721
2,210,3,3,4,1,1,1,3100,6500,1400,83,11080
2,130,3,3,3,0,1,1,0,4000,146,61,4207
0,45,1,1,0,11,1,1,750,900,658,14,2322
1,45,1,1,1,6,1,1,757,2900,9,39,3705
4,40,1,1,0,8,1,0,450,2000,50,26,2526
2,175,1,1,2,0,1,1,0,1600,167,25,1792
2,750,4,5,8,0,1,1,0,15000,4338,226,19560
2,60,2,3,2,5,0,1,730,1200,182,16,2128
2,86,2,1,1,11,0,1,1105,3800,155,49,5109
0,75,2,2,2,6,1,1,556,2200,95,33,2884
0,281,4,3,4,0,1,0,0,4950,442,88,5480
0,70,2,2,1,2,1,1,400,2200,92,33,2725
4,280,3,3,2,2,1,0,6500,8000,1680,104,16280
2,30,1,1,0,2,1,1,0,1850,0,24,1874
3,100,2,2,1,11,1,1,0,2000,0,26,2026
2,271,3,2,2,0,1,1,0,4800,646,73,5519
2,123,3,3,2,3,0,0,1527,3400,334,44,5305
2,59,2,2,0,10,1,0,380,3900,143,50,4473
2,130,2,3,3,0,1,1,0,1830,0,28,1858
0,58,1,1,1,2,1,1,273,1200,27,18,1518
2,42,1,1,1,9,1,1,500,2325,128,30,2983
2,168,3,2,4,0,0,1,600,3500,317,53,4470
2,430,4,7,6,0,1,1,0,7990,300,121,8411
4,90,3,2,1,17,1,1,830,980,120,13,1943
4,36,1,1,0,8,1,0,450,2000,0,26,2476
4,45,1,1,1,5,1,0,1050,2700,196,35,3981
1,73,3,1,1,3,1,1,707,1400,121,19,2247
2,38,1,1,0,2,0,1,60,950,0,13,1023
2,95,3,2,1,7,1,1,850,2300,0,30,3180
3,60,1,1,1,1,1,0,665,1700,37,22,2424
1,60,2,1,1,6,0,1,200,2000,66,27,2293
2,44,1,1,1,1,0,0,590,2000,29,26,2645
0,39,1,1,1,1,0,0,185,900,27,14,1126
3,30,1,1,0,2,0,1,70,1100,9,14,1193
2,250,3,3,2,0,0,1,0,3700,459,56,4215
2,170,3,3,3,0,1,1,0,3500,209,53,3762
2,65,2,1,0,0,1,1,0,1800,167,28,1995
2,320,3,3,4,0,1,1,1700,4320,142,65,6227
2,60,2,1,3,0,1,1,0,2200,188,34,2422
0,100,3,1,0,3,1,0,250,1870,59,28,2207
2,100,2,2,2,0,1,1,1750,2800,450,36,5036
2,45,2,1,0,2,1,1,60,900,42,12,1014
2,270,5,7,2,0,1,1,0,3978,89,60,4127
4,90,3,2,1,10,0,0,1500,3500,350,46,5396
3,51,2,1,2,13,0,1,457,1850,56,24,2387
2,72,2,2,1,1,1,1,0,1760,30,23,1813
4,45,1,1,1,2,0,0,50,2000,50,26,2126
0,60,2,1,0,3,1,1,170,1090,25,16,1301
2,213,3,3,2,1,0,1,3200,6500,475,83,10260
2,33,1,1,0,1,0,1,250,1305,0,17,1572
3,74,3,1,1,4,1,1,308,814,49,11,1182
2,120,3,1,1,0,1,1,0,2625,0,26,2651
4,45,1,1,0,2,1,1,340,1900,13,25,2278
2,59,2,2,1,2,1,1,759,3478,75,14,4326
4,35,1,1,0,5,0,0,600,4500,67,58,5225
2,253,4,5,3,16,1,1,2100,4100,0,52,6252
3,78,3,2,1,6,1,1,645,1600,67,21,2333
1,200,4,3,3,10,0,1,2012,5000,547,67,7626
2,128,3,3,2,10,1,1,2600,3800,605,49,7054
1,200,5,2,5,0,1,1,0,4000,148,54,4202
2,60,2,2,1,17,1,1,440,1250,38,16,1744
2,244,3,4,2,7,1,0,3500,12000,648,153,16300
2,120,2,1,1,0,0,1,0,3000,280,46,3326
3,145,4,3,2,8,1,1,1800,5700,292,73,7865
2,120,3,2,1,7,1,1,1400,4675,200,60,6335
3,34,1,1,0,4,1,1,430,650,70,9,1159
2,90,2,1,2,4,1,1,1100,2000,0,26,3126
3,76,2,1,0,1,1,1,300,700,100,9,1109
2,69,3,2,1,8,1,1,670,2000,6,26,2702
2,150,3,2,0,0,1,1,0,2500,150,38,2688
2,101,2,2,1,12,1,1,582,1700,0,22,2304
2,225,3,3,2,5,1,1,2560,10800,670,137,14170
2,220,4,4,4,8,1,1,2058,4500,540,58,7156
0,79,2,1,0,10,1,1,400,1880,67,28,2375
2,25,1,1,0,0,1,1,0,1200,25,19,1244
2,277,3,5,4,0,1,1,2580,9000,771,136,12490
2,282,4,4,3,19,1,0,3100,10000,1334,127,14560
2,200,4,5,3,1,0,1,2800,5500,997,70,9367
0,45,1,1,2,5,1,1,800,2300,9,34,3143
2,280,4,4,3,17,1,0,2400,6553,0,84,9037
2,155,4,3,2,16,1,1,1050,3500,459,45,5054
2,44,1,1,1,9,1,0,398,1900,19,25,2342
1,312,4,5,4,9,1,1,1067,8000,890,107,10060
4,90,2,1,0,2,1,1,200,1200,142,16,1558
2,64,2,1,1,5,1,0,741,1850,75,24,2690
2,150,2,2,3,2,0,0,4085,8000,570,102,12760
2,65,2,1,0,0,1,1,0,1300,70,17,1387
0,47,1,1,1,1,0,0,400,2200,0,33,2633
4,40,1,1,0,9,1,0,550,1980,84,26,2640
2,50,1,1,0,12,1,0,501,1800,0,23,2324
1,120,3,3,2,0,1,1,0,2320,125,39,2484
4,95,3,1,0,2,1,1,528,3000,140,39,3707
4,25,1,1,2,6,0,0,540,1650,42,22,2254
2,202,4,3,4,5,1,1,4308,12000,1896,153,18360
4,30,1,1,0,3,1,1,350,1000,17,13,1380
0,30,1,1,0,1,1,0,230,850,18,13,1111
1,1000,3,4,2,0,1,1,0,5000,365,82,5447
0,80,3,1,1,8,1,1,400,1700,125,25,2250
1,120,4,3,2,2,1,1,0,3250,0,44,3294
2,249,3,3,3,0,1,1,0,9000,834,136,9970
2,90,3,3,2,16,1,1,1119,2600,360,33,4112
4,91,2,2,1,1,1,1,1102,3450,201,45,4798
2,36,1,1,0,4,1,1,300,1162,19,15,1496
2,51,2,1,1,7,1,1,427,2900,114,37,3478
2,287,4,4,4,6,0,1,7900,11300,2590,144,21930
4,65,2,2,1,5,1,0,1265,6700,262,87,8314
2,84,2,2,2,20,0,0,1250,9600,217,122,11190
2,43,1,1,1,2,0,0,488,3600,133,46,4267
2,58,2,1,1,1,1,1,430,1540,0,20,1990
2,208,4,4,3,1,1,0,2860,8000,1672,102,12630
2,462,7,2,3,0,0,1,0,8600,834,130,9564
2,167,3,2,1,14,1,0,1800,9500,500,121,11920
2,62,2,1,1,12,0,0,650,1236,34,16,1936
0,75,2,2,0,5,1,1,400,2500,140,37,3077
3,244,5,7,4,12,1,1,1600,8000,500,102,10200
2,309,4,7,8,0,1,1,0,8000,1250,121,9371
0,40,1,1,0,5,1,1,400,950,100,14,1464
0,90,2,1,0,2,1,1,200,950,26,14,1190
0,47,1,1,0,0,0,1,200,1100,0,17,1317
0,143,3,2,3,9,1,0,1950,6000,698,88,8736
2,230,3,4,3,8,0,1,2700,4210,1167,54,8131
2,580,6,6,6,0,1,1,0,6960,2084,105,9149
2,238,4,4,3,1,1,0,2569,15000,542,191,18300
2,113,3,4,3,5,1,0,1055,3400,178,44,4677
2,115,2,2,2,10,0,0,1395,3800,259,49,5503
2,80,1,2,1,10,1,0,1000,4000,109,51,5160
4,300,4,4,3,3,1,1,2300,4500,803,58,7661
3,70,1,1,2,0,1,1,0,1450,5,22,1477
2,52,2,1,0,0,1,1,375,990,0,13,1378
2,55,2,1,1,9,1,1,655,1530,100,20,2305
4,58,2,1,1,7,1,1,754,750,44,10,1558
3,50,2,1,1,0,1,1,330,1150,0,15,1495
3,40,1,1,0,4,1,1,420,500,17,7,944
2,164,3,2,1,15,1,0,1229,3700,198,47,5174
0,76,2,2,0,2,1,1,190,2100,49,38,2377
2,80,2,1,1,2,1,0,1950,2800,209,36,4995
1,300,5,4,3,0,1,1,0,15000,417,246,15660
0,75,2,2,2,4,1,1,550,1600,122,24,2296
2,280,3,4,2,0,1,0,8000,8000,667,121,16790
0,50,1,1,1,3,0,1,370,1200,50,18,1638
2,74,1,2,2,8,1,0,850,5500,294,70,6714
2,73,2,1,1,4,1,1,540,2080,0,27,2647
3,280,4,3,4,0,1,1,2307,3100,341,47,5795
4,403,3,4,2,3,1,1,2800,15000,667,194,18660
3,424,4,5,4,0,1,1,0,3315,358,50,3723
2,190,4,5,3,10,1,1,3200,4000,417,51,7668
2,454,4,3,4,0,1,0,2700,10900,917,164,14680
2,138,3,2,1,7,0,1,2000,7600,238,97,9935
2,600,5,5,6,0,1,1,0,15000,2100,191,17290
3,58,2,1,1,1,1,0,385,3500,64,45,3994
2,38,1,1,0,16,1,0,290,2500,0,32,2822
2,113,2,2,1,4,1,1,1000,3000,50,39,4089
2,70,2,1,0,0,0,1,0,1700,25,26,1751
4,90,2,1,0,10,1,0,1,4000,1,52,4054
2,183,4,4,3,7,1,1,2200,5000,834,64,8098
4,20,1,1,0,8,1,0,630,1370,25,18,2043
1,66,2,1,1,1,1,1,380,500,23,7,910
4,92,2,2,0,3,1,1,1550,2700,250,35,4535
0,70,2,1,0,3,0,0,300,1800,0,27,2127
2,93,3,2,1,10,1,1,1497,3400,227,44,5168
2,220,4,5,4,5,0,1,2066,3230,1577,41,6914
2,20,1,1,0,3,0,0,300,600,40,8,948
2,92,3,2,2,0,0,1,150,2200,198,34,2582
1,50,2,1,0,0,0,1,0,1200,250,16,1466
2,300,3,5,2,12,0,0,2100,13900,809,177,16990
0,90,3,1,1,6,1,1,380,1750,90,26,2246
3,36,1,1,0,4,0,1,300,500,10,7,817
4,70,2,2,0,3,1,1,1015,2250,135,29,3429
2,200,3,3,2,0,1,1,0,3500,292,53,3845
4,160,3,2,1,4,1,0,1957,6800,513,88,9358
2,135,3,2,3,7,1,1,1941,2800,635,36,5412
2,70,1,1,0,0,1,1,0,1200,34,19,1253
1,95,2,1,1,4,0,0,330,2000,94,27,2451
2,60,2,2,2,15,1,1,692,1900,90,25,2707
2,36,1,1,0,1,1,1,0,860,50,11,921
2,136,3,3,3,4,1,0,1970,6000,600,77,8647
2,250,3,2,2,0,1,1,0,3500,250,53,3803
2,330,3,5,3,15,1,1,3400,15000,2500,191,21090
1,65,3,2,1,5,0,1,250,950,82,13,1295
3,380,3,4,4,0,1,1,3640,8000,534,121,12300
2,350,5,5,4,0,1,1,0,3000,467,46,3513
3,70,2,1,0,2,1,1,470,700,39,9,1218
4,65,2,2,0,2,1,1,640,1500,70,20,2230
2,45,1,1,1,1,0,0,3000,5520,0,70,8590
4,95,2,2,0,0,1,1,450,3430,263,45,4188
2,120,2,1,1,0,1,1,0,1600,167,25,1792
2,248,3,4,3,2,1,1,4325,5300,1521,68,11210
2,100,2,1,2,0,0,1,0,3300,317,50,3667
2,394,4,6,4,23,1,0,6000,4000,2500,51,12550
3,209,3,3,2,0,0,1,593,2550,237,39,3419
4,16,1,1,0,2,1,1,450,555,30,8,1043
2,49,2,1,1,8,1,1,528,1700,135,22,2385
4,70,2,2,1,4,0,0,750,4100,13,53,4916
4,150,3,2,3,2,1,1,0,2430,38,32,2500
0,58,2,1,1,4,1,1,220,1320,67,20,1627
2,200,3,4,1,8,0,0,2200,6000,375,77,8652
1,400,3,3,0,0,1,1,0,3500,142,58,3700
2,196,3,4,2,1,0,1,2200,3300,559,42,6101
0,40,1,1,0,3,0,0,0,2000,0,30,2030
1,158,3,3,2,5,1,1,796,3700,360,50,4906
2,130,2,1,1,0,1,1,0,4000,0,61,4061
3,48,1,2,0,2,1,0,704,987,46,13,1750
2,72,2,1,1,7,1,1,438,1440,51,19,1948
2,65,2,1,0,2,1,1,425,1680,33,22,2160
0,60,2,1,1,7,1,1,320,1900,50,28,2298
2,48,1,1,1,19,1,1,588,1525,0,6,2119
4,47,1,1,0,2,0,1,306,1400,22,19,1747
0,84,2,1,0,3,1,1,500,900,73,14,1487
2,186,4,2,2,2,1,1,1500,2500,0,32,4032
1,85,3,2,2,2,0,1,500,1500,114,20,2134
2,160,4,5,3,2,1,0,1623,3800,834,49,6306
4,74,2,1,1,1,1,1,100,900,65,12,1077
2,18,1,1,0,0,1,1,0,1720,0,22,1742
0,130,2,1,2,0,1,1,0,2000,109,36,2145
1,95,3,2,1,2,1,1,300,2300,182,31,2813
2,105,3,2,3,1,1,1,1250,1900,552,25,3727
1,85,2,2,1,6,1,1,1105,1100,119,15,2339
1,50,1,1,2,0,1,1,0,1280,83,21,1384
4,103,3,2,1,3,1,1,1736,4500,290,58,6584
2,54,2,1,1,1,1,1,990,780,0,10,1780
3,75,2,1,2,1,1,1,235,1400,25,18,1678
2,25,1,1,0,1,0,1,0,1200,35,16,1251
1,63,3,2,2,2,0,1,180,1300,90,18,1588
1,150,5,5,5,0,1,0,0,14000,835,230,15070
2,47,2,1,1,12,1,1,597,1570,0,20,2187
4,140,3,2,3,2,1,0,926,4235,145,55,5361
4,40,1,1,0,2,1,1,380,1110,0,15,1505
1,115,3,2,1,2,0,1,334,2200,110,30,2674
2,160,4,3,2,9,1,0,2800,9530,286,121,12740
4,80,1,1,0,0,0,1,70,1400,38,22,1530
4,75,2,1,1,2,1,1,450,1100,50,15,1615
0,80,2,1,0,1,1,1,0,950,65,14,1029
2,80,2,2,1,0,1,1,0,2600,417,40,3057
2,199,3,4,5,17,1,0,2800,4000,1500,51,8351
2,400,4,4,3,0,1,1,0,9000,542,136,9678
2,70,1,1,0,0,0,1,0,1086,163,17,1266
2,300,4,5,4,0,1,1,0,5000,538,76,5614
1,70,2,1,1,6,1,1,370,1100,103,15,1588
2,250,3,2,1,2,1,1,3200,8500,5000,108,16810
4,27,1,1,0,12,1,0,350,1700,67,22,2139
2,54,2,1,1,12,0,1,720,2010,71,26,2827
2,225,4,5,4,22,1,0,2000,9000,1192,115,12310
2,125,3,2,1,9,1,1,1000,4655,200,59,5914
2,55,2,1,0,0,1,1,0,2000,75,31,2106
2,186,3,3,2,22,0,1,1350,5435,405,69,7259
4,154,3,3,1,5,1,1,1450,5000,367,65,6882
2,200,3,4,2,0,0,0,0,9800,417,148,10370
2,246,3,4,3,8,1,1,3200,4500,794,58,8552
0,78,2,1,0,3,1,1,280,1380,32,21,1713
2,70,2,1,1,0,1,1,60,2100,0,32,2192
2,188,3,1,3,0,1,1,0,9500,472,143,10120
1,165,3,2,4,2,1,0,230,2870,142,39,3281
3,63,2,1,0,1,1,1,430,950,0,13,1393
1,200,4,2,2,5,1,1,2341,4000,421,54,6816
2,298,4,5,4,1,0,1,3600,6000,1250,77,10930
2,154,3,1,3,17,1,0,830,6700,400,85,8015
3,110,3,2,2,7,0,1,900,2100,100,27,3127
3,130,2,2,5,0,1,1,0,1800,321,28,2149
2,32,1,1,1,18,0,0,1600,3500,234,45,5379
4,170,4,3,2,10,1,1,2500,2430,500,32,5462
2,69,2,1,0,8,1,1,1100,1600,0,21,2721
4,118,2,2,1,6,1,1,1600,3950,271,51,5872
4,90,3,1,0,4,1,1,370,2800,109,37,3316
3,65,1,1,1,9,1,1,380,1200,83,16,1679
2,260,4,3,4,1,1,0,2780,4000,1200,51,8031
2,182,3,5,3,10,1,1,3600,4900,875,63,9438
2,41,1,1,1,10,0,1,900,3500,100,45,4545
2,45,1,1,0,0,1,1,0,1400,0,22,1422
2,40,1,1,0,0,0,1,0,780,17,12,809
2,100,1,3,2,8,0,0,800,2500,125,32,3457
2,66,2,1,0,7,1,1,356,1650,0,21,2027
1,71,3,2,2,4,1,1,660,970,149,13,1792
3,94,2,1,1,1,1,1,525,1200,88,16,1829
4,80,2,2,1,2,1,1,662,1380,215,18,2275
2,41,1,1,1,4,0,0,380,3220,0,13,3613
2,140,3,2,1,0,1,1,0,3825,0,58,3883
0,47,1,1,1,1,0,0,400,2200,0,33,2633
4,70,3,1,1,2,1,1,550,1200,0,16,1766
3,58,1,1,1,3,1,1,710,720,40,10,1480
2,200,3,4,4,8,1,0,1800,5600,860,71,8331
4,40,1,1,0,3,1,1,262,725,0,10,997
2,240,3,4,4,0,0,1,0,4000,370,61,4431
2,96,3,2,1,12,1,1,1122,3050,231,39,4442
2,220,4,5,2,0,1,1,0,6500,1176,98,7774
2,132,3,2,2,8,1,0,1650,4000,400,51,6101
1,106,3,2,2,7,0,1,1294,2200,239,30,3763
2,150,3,3,2,3,1,0,2100,2000,584,26,4710
2,68,3,1,1,7,0,1,700,1400,0,18,2118
0,180,4,5,3,9,1,0,2500,10500,410,154,13560
0,44,1,1,1,9,1,1,280,1170,31,18,1499
4,75,2,1,0,3,1,1,888,1900,267,25,3080
2,58,2,2,1,6,1,1,450,4700,5,60,5215
2,72,2,1,0,9,1,1,760,2200,17,28,3005
2,190,4,4,2,0,1,1,0,3500,315,53,3868
4,150,3,2,1,10,1,1,1500,1300,140,17,2957
3,550,3,7,8,0,1,1,0,7700,430,116,8246
2,220,2,2,3,0,1,1,0,10500,750,158,11410
2,200,3,2,3,0,1,0,0,6000,209,91,6300
1,300,5,3,4,0,1,1,900,6800,167,112,7979
2,70,2,2,0,3,0,1,260,2280,92,29,2661
3,43,2,1,1,0,1,1,274,1000,7,13,1294
0,45,1,1,1,1,1,1,240,740,7,11,998
0,55,2,1,0,3,1,1,350,650,42,10,1052
2,700,5,8,3,0,1,1,0,12000,1000,181,13180
1,300,3,5,0,0,1,1,0,5500,310,91,5901
0,220,4,5,2,0,1,1,0,7000,225,125,7350
2,300,4,5,6,0,1,0,0,15000,1805,226,17030
0,52,1,1,0,0,1,1,90,748,1,11,850
4,106,2,2,1,2,1,1,1550,4000,323,52,5925
0,84,2,2,2,6,1,1,657,3200,189,47,4093
2,50,2,1,0,0,0,1,0,1200,0,19,1219
2,240,3,3,2,0,1,1,0,4000,292,61,4353
2,240,3,3,4,0,1,0,0,8000,1000,121,9121
0,260,2,2,1,3,0,1,350,1640,0,24,2014
2,73,2,2,1,11,1,1,700,1250,150,16,2116
2,334,4,6,5,4,1,1,3790,3800,2435,49,10070
2,67,2,1,1,6,1,1,313,1200,167,16,1696
2,71,2,1,0,8,0,1,764,1800,0,23,2587
2,280,3,4,3,4,0,1,4200,7600,1250,97,13150
1,450,5,5,3,0,1,1,0,6500,542,107,7149
0,82,3,2,1,6,1,1,700,2500,59,37,3296
2,380,4,5,4,4,1,1,4000,8000,2667,102,14770
0,105,3,2,2,1,1,1,600,2390,134,35,3159
2,55,1,1,1,10,1,0,570,1800,0,7,2377
2,45,1,1,0,0,0,1,700,1500,0,20,2220
2,70,2,2,1,5,1,0,820,3100,117,40,4077
2,160,3,3,0,0,0,1,0,5000,500,76,5576
2,48,2,1,1,1,1,1,480,1710,0,22,2212
2,200,3,4,2,2,1,1,2700,9180,0,117,12000
2,46,2,1,0,5,1,1,0,1200,0,16,1216
4,30,1,1,0,0,0,1,0,680,0,9,689
4,140,3,2,1,10,1,1,1600,3600,375,47,5622
2,101,3,3,2,1,1,1,780,4600,330,59,5769
2,340,2,4,3,14,1,1,4900,15000,917,191,21010
2,400,4,5,4,13,1,0,2700,7000,1500,89,11290
3,55,2,1,1,2,1,1,453,749,44,10,1256
4,45,2,1,1,9,1,1,560,1450,18,19,2047
2,62,2,2,0,0,1,0,0,1250,0,19,1269
4,75,2,1,0,1,1,0,750,3190,196,42,4178
2,86,3,1,1,6,1,1,460,3150,0,40,3650
0,182,3,3,2,0,1,1,0,3200,112,57,3369
0,30,1,1,1,0,1,1,0,762,15,14,791
4,153,4,3,1,0,1,1,0,2710,121,42,2873
2,70,2,1,1,0,1,1,0,1100,77,17,1194
4,82,2,1,1,11,1,1,750,1840,83,24,2697
2,160,3,4,4,0,0,1,0,7000,534,106,7640
2,270,5,4,4,6,0,1,3500,7000,1684,89,12270
2,370,7,6,8,0,1,1,0,10000,1875,151,12030
2,470,4,6,2,7,1,1,3000,7200,1000,109,11310
2,200,1,1,3,0,1,1,0,1600,264,25,1889
2,62,2,2,0,6,0,1,645,1400,92,18,2155
2,64,2,2,1,4,1,1,690,2500,5,32,3227
2,58,2,1,1,2,1,1,170,1100,0,14,1284
0,75,2,2,0,9,0,1,436,1350,50,20,1856
2,200,2,2,2,11,1,0,2900,11000,560,140,14600
2,36,1,1,1,11,1,1,380,1600,60,21,2061
0,120,2,2,1,8,1,1,850,1700,134,25,2709
0,62,2,2,2,3,1,1,540,1600,9,24,2173
2,490,3,3,3,0,1,0,0,4450,1200,67,5717
1,67,2,2,2,7,0,1,831,3170,34,43,4078
2,161,3,3,3,8,1,1,1762,2500,741,32,5035
2,176,4,2,3,0,1,1,1225,5000,0,76,6301
2,178,4,4,4,16,1,1,2200,4500,688,58,7446
0,88,3,2,0,2,1,1,520,1658,31,25,2234
0,470,3,3,4,0,1,0,0,3700,346,66,4112
2,257,4,3,2,0,1,1,0,7000,1200,106,8306
2,70,4,3,0,0,1,1,0,3500,270,53,3823
1,50,2,1,1,4,1,1,145,700,62,10,917
1,89,3,2,1,2,1,1,330,1300,138,18,1786
2,73,2,1,1,4,1,1,680,1300,21,17,2018
2,95,3,2,2,14,1,0,1000,4500,325,58,5883
4,54,2,1,1,9,1,1,560,1600,0,21,2181
1,150,4,1,3,4,1,0,1600,4350,542,58,6550
4,139,2,3,1,5,1,1,720,5966,387,77,7150
0,45,1,1,0,4,1,0,200,1700,55,25,1980
2,255,4,4,4,0,1,1,0,3400,375,52,3827
2,100,1,1,0,0,1,1,0,2150,267,33,2450
2,120,3,3,1,4,1,1,1015,2870,0,37,3922
3,200,4,5,2,0,0,1,1000,8000,84,121,9205
2,72,2,1,1,5,1,1,899,1280,6,17,2202
0,50,1,1,0,0,1,0,0,1100,13,20,1133
2,158,3,4,3,5,0,0,1950,12000,738,153,14840
2,22,1,1,0,26,1,1,384,2100,40,27,2551
2,105,3,2,1,2,1,1,1937,2380,374,31,4722
2,50,2,1,1,5,1,1,420,1500,3,20,1943
1,65,2,2,0,3,1,1,210,1200,19,16,1445
2,108,3,2,2,2,1,1,980,2000,195,26,3201
3,50,1,1,0,2,1,1,450,1080,15,14,1559
2,198,3,3,6,0,1,0,0,4200,250,64,4514
3,74,3,2,1,10,1,1,700,1800,120,23,2643
4,71,2,2,1,13,0,0,2438,5500,246,71,8255
0,52,2,1,1,5,1,1,400,1100,42,17,1559
1,355,3,4,8,8,1,1,2700,6000,1106,80,9886
0,162,3,1,0,1,1,1,440,1300,67,19,1826
2,90,1,1,0,11,0,1,300,2000,0,26,2326
0,62,2,1,1,7,0,1,485,1377,54,21,1937
2,130,3,2,2,0,1,0,0,3000,0,46,3046
2,78,1,1,0,2,1,1,420,2522,25,32,2999
2,276,4,5,4,0,1,1,0,4900,183,74,5157
2,50,2,1,1,2,1,1,380,1500,88,20,1988
0,35,1,1,0,2,1,0,350,1500,50,22,1922
1,161,3,1,2,0,1,1,0,3500,435,58,3993
2,30,1,1,0,3,0,1,340,920,0,12,1272
2,251,4,4,3,10,1,1,2700,4200,1250,54,8204
2,77,2,1,1,1,1,0,1300,2600,100,33,4033
2,112,3,3,2,8,0,1,1222,3250,486,42,5000
3,273,4,2,2,4,1,0,2100,2470,366,32,4968
4,55,1,1,1,8,1,1,400,1100,9,15,1524
3,80,3,2,2,14,0,1,704,1800,83,23,2610
2,400,4,5,3,0,1,1,0,15000,1750,226,16980
4,110,3,2,1,9,1,1,1100,2500,100,33,3733
2,262,4,5,4,17,1,1,2500,2250,1350,29,6129
4,38,1,1,0,12,0,1,600,1700,82,22,2404
2,140,2,2,1,3,0,1,2000,12500,279,159,14940
2,110,6,5,7,0,1,1,0,9810,1000,148,10960
0,46,1,1,1,3,1,1,280,1099,55,17,1451
0,55,2,1,0,4,1,1,390,1500,42,22,1954
4,70,2,1,1,5,0,1,470,1710,100,23,2303
2,60,2,2,1,1,1,1,600,1860,0,24,2484
2,87,3,2,2,5,0,1,750,4000,250,51,5051
0,400,3,4,4,0,1,0,3000,12000,1100,214,16310
0,64,2,2,0,7,0,1,550,1350,52,20,1972
4,85,2,2,1,12,1,0,3499,9000,769,116,13380
0,140,3,4,2,12,1,1,1990,3490,292,51,5823
2,288,4,5,4,8,1,1,3635,5025,1155,64,9879
2,64,3,1,1,2,1,1,470,1200,110,16,1796
2,62,2,2,1,1,0,0,684,5050,227,64,6025
4,15,1,1,0,0,1,1,0,700,0,10,710
2,200,4,3,2,8,1,1,2744,4100,1615,52,8511
1,450,4,3,4,8,1,0,2000,12750,717,170,15640
2,72,3,2,1,11,1,1,800,3010,0,39,3849
4,75,2,1,1,6,1,1,970,1750,42,23,2785
2,20,1,1,0,0,1,1,0,550,30,9,589
2,77,2,2,1,6,1,1,900,3000,80,39,4019
2,57,1,1,0,5,1,0,300,6000,17,77,6394
2,103,3,3,0,6,1,1,1530,6000,320,77,7927
2,180,3,2,1,8,1,0,2000,12000,334,153,14490
0,80,2,1,1,1,1,1,0,833,4,13,850
2,25,1,1,1,8,1,0,0,4000,0,51,4051
3,248,3,4,4,2,1,1,2648,8000,667,102,11420
1,360,6,2,0,0,0,1,0,8000,752,132,8884
2,62,1,1,0,4,1,0,670,2300,0,30,3000
2,85,2,1,0,2,1,1,259,1800,0,23,2082
0,187,3,3,2,0,1,0,0,2805,98,50,2953
2,58,2,3,2,0,0,1,50,2000,0,31,2081
1,93,2,1,0,12,0,1,475,1600,70,22,2167
2,28,1,1,0,5,1,1,450,1999,42,26,2517
3,120,3,2,5,0,1,1,0,1700,75,26,1801
4,70,1,2,0,0,0,1,0,1200,0,19,1219
2,162,2,3,3,3,0,0,2200,15000,959,191,18350
2,210,3,2,3,0,1,1,0,4700,0,71,4771
1,300,3,2,2,0,1,1,0,2500,224,41,2765
2,40,1,1,1,12,1,1,651,1900,30,25,2606
2,270,3,4,4,4,1,0,3200,4800,928,61,8989
2,65,2,1,1,8,1,0,1082,3820,134,49,5085
